park_code,park_name,wiki_url,nps_url,area_acres,lat,lon
LAKE,Lake Mead National Recreation Area,https://en.wikipedia.org/wiki/Lake_Mead_National_Recreation_Area,https://www.nps.gov/LAKE/index.htm,1495806.0,36.00972,-114.79667
LAMR,Lake Meredith National Recreation Area,https://en.wikipedia.org/wiki/Lake_Meredith_National_Recreation_Area,https://www.nps.gov/LAMR/index.htm,44978.0,35.71472,-101.55278
LARO,Lake Roosevelt National Recreation Area,https://en.wikipedia.org/wiki/Lake_Roosevelt_National_Recreation_Area,https://www.nps.gov/LARO/index.htm,100390.0,48.10743,-118.21289
LAVO,Lassen Volcanic National Park,https://en.wikipedia.org/wiki/Lassen_Volcanic_National_Park,https://www.nps.gov/LAVO/index.htm,106452.0,40.49806,-121.4275
LEWI,Lewis and Clark National Historical Park,https://en.wikipedia.org/wiki/Lewis_and_Clark_National_Historical_Park,https://www.nps.gov/LEWI/index.htm,3303.0,46.13361,-123.8775
LIBI,Little Bighorn Battlefield National Monument,https://en.wikipedia.org/wiki/Little_Bighorn_Battlefield_National_Monument,https://www.nps.gov/LIBI/index.htm,765.34,45.57028,-107.4275
LIBO,Lincoln Boyhood National Memorial,https://en.wikipedia.org/wiki/Lincoln_Boyhood_National_Memorial,https://www.nps.gov/LIBO/index.htm,200.0,38.11833,-86.99694
LIHO,Lincoln Home National Historic Site,https://en.wikipedia.org/wiki/Lincoln_Home_National_Historic_Site,https://www.nps.gov/LIHO/index.htm,12.24,39.79722,-89.645
LINC,Lincoln Memorial,https://en.wikipedia.org/wiki/Lincoln_Memorial,https://www.nps.gov/LINC/index.htm,7.29,38.889278,-77.050139
LIRI,Little River Canyon National Preserve,https://en.wikipedia.org/wiki/Little_River_Canyon_National_Preserve,https://www.nps.gov/LIRI/index.htm,15288.0,34.44056,-85.59556
LONG,Longfellow House Washington's Headquarters National Historic Site,https://en.wikipedia.org/wiki/Longfellow_House_Washington's_Headquarters_National_Historic_Site,https://www.nps.gov/LONG/index.htm,2.0,42.37667,-71.12639
LOWE,Lowell National Historical Park,https://en.wikipedia.org/wiki/Lowell_National_Historical_Park,https://www.nps.gov/LOWE/index.htm,141.0,42.64667,-71.31028
LYBA,LBJ Memorial Grove on the Potomac,https://en.wikipedia.org/wiki/LBJ_Memorial_Grove_on_the_Potomac,https://www.nps.gov/LYBA/index.htm,17.0,38.87861,-77.05139
LYJO,Lyndon B Johnson National Historical Park,https://en.wikipedia.org/wiki/Lyndon_B_Johnson_National_Historical_Park,https://www.nps.gov/LYJO/index.htm,1571.0,30.24083,-98.62417
MABI,Marsh-Billings-Rockefeller National Historical Park,https://en.wikipedia.org/wiki/Marsh-Billings-Rockefeller_National_Historical_Park,https://www.nps.gov/MABI/index.htm,643.0,43.6312462,-72.5293562
MACA,Mammoth Cave National Park,https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park,https://www.nps.gov/MACA/index.htm,52830.0,37.18694,-86.10111
MALU,"Martin Luther King, Jr. National Historical Park","https://en.wikipedia.org/wiki/Martin_Luther_King,_Jr._National_Historical_Park",https://www.nps.gov/MALU/index.htm,34.47,33.755,-84.37222
MAMC,Mary McLeod Bethune Council House National Historic Site,https://en.wikipedia.org/wiki/Mary_McLeod_Bethune_Council_House_National_Historic_Site,https://www.nps.gov/MAMC/index.htm,0.07,38.90778,-77.03028
MANA,Manassas National Battlefield Park,https://en.wikipedia.org/wiki/Manassas_National_Battlefield_Park,https://www.nps.gov/MANA/index.htm,5073.0,38.81278,-77.52167
MANZ,Manzanar National Historic Site,https://en.wikipedia.org/wiki/Manzanar_National_Historic_Site,https://www.nps.gov/MANZ/index.htm,814.0,36.72833,-118.15444
MAPR,Manhattan Project National Historical Park,https://en.wikipedia.org/wiki/Manhattan_Project_National_Historical_Park,https://www.nps.gov/MAPR/index.htm,,35.93694,-84.39444
MAVA,Martin Van Buren National Historic Site,https://en.wikipedia.org/wiki/Martin_Van_Buren_National_Historic_Site,https://www.nps.gov/MAVA/index.htm,125.0,42.3697056,-73.7042056
MAWA,Maggie L Walker National Historic Site,https://en.wikipedia.org/wiki/Maggie_L_Walker_National_Historic_Site,https://www.nps.gov/MAWA/index.htm,1.29,37.54778,-77.43806
MEMY,Medgar and Myrlie Evers Home National Monument,https://en.wikipedia.org/wiki/Medgar_and_Myrlie_Evers_Home_National_Monument,https://www.nps.gov/MEMY/index.htm,0.14,32.34097,-90.21265
MEVE,Mesa Verde National Park,https://en.wikipedia.org/wiki/Mesa_Verde_National_Park,https://www.nps.gov/MEVE/index.htm,52485.0,37.1838,-108.4887
MIIN,Minidoka National Historic Site,https://en.wikipedia.org/wiki/Minidoka_National_Historic_Site,https://www.nps.gov/MIIN/index.htm,210.0,42.67861,-114.24417
MIMA,Minute Man National Historical Park,https://en.wikipedia.org/wiki/Minute_Man_National_Historical_Park,https://www.nps.gov/MIMA/index.htm,967.0,42.45306,-71.29861
MIMI,Minuteman Missile National Historic Site,https://en.wikipedia.org/wiki/Minuteman_Missile_National_Historic_Site,https://www.nps.gov/MIMI/index.htm,43.8,43.93111,-102.16056
MISP,Mill Springs Battlefield National Monument,https://en.wikipedia.org/wiki/Mill_Springs_Battlefield_National_Monument,https://www.nps.gov/MISP/index.htm,1459.19,37.06889,-84.73611
MISS,Mississippi National River & Recreation Area,https://en.wikipedia.org/wiki/Mississippi_National_River_and_Recreation_Area,https://www.nps.gov/MISS/index.htm,53775.0,44.8732995,-93.018826
MLKM,"Martin Luther King, Jr. Memorial","https://en.wikipedia.org/wiki/Martin_Luther_King,_Jr._Memorial",https://www.nps.gov/MLKM/index.htm,,38.88611,-77.04417
MNRR,Missouri National Recreational River,https://en.wikipedia.org/wiki/Missouri_National_Recreational_River,https://www.nps.gov/MNRR/index.htm,33800.0,42.8625,-97.39278
MOCA,Montezuma Castle National Monument,https://en.wikipedia.org/wiki/Montezuma_Castle_National_Monument,https://www.nps.gov/MOCA/index.htm,859.27,34.61111,-111.83667
MOCR,Moores Creek National Battlefield,https://en.wikipedia.org/wiki/Moores_Creek_National_Battlefield,https://www.nps.gov/MOCR/index.htm,88.0,34.458222,-78.110306
